382734920348,1233 fake address,st joseph,MO,64506,john,doe
ShortTermLoan|1fc1b84c-7c45-4974-ae7c-07241a1cdcb8|5.0|500.0

345667989,8703 Park Ln,St. Joseph,MO,64501,Broderick,Jones
ShortTermLoan|84149e95-0f6f-43a6-a895-0387ab2dd007|3.0|1000.0

423453245,114 North 4th,Clarkesdale,MO,64493,Ronald,Jones

423148894,2109 Sylviana,St. Joseph,MO,64501,Sherry,Harrison
CDAccount|106a7941-6310-4923-b3e2-499eb86a95ed|395.0|0.05|2027-05-04|50.0
CDAccount|3ad103b8-f987-49a0-8bf7-8fd364c104f6|400.0|0.05|2029-05-04|50.0

345653425,1805 Jules,St. Joseph,MO,64503,Mark,Ingrem

677879013,4305 West 3rd,Wathena,KS,54910,John,Morgeson

423567890,335 Jules,St. Joseph,MO,64503,Mary,Francis

345599870,221 South Highly,St. Joseph,MO,64503,Gary,Gilkerson

345812332,1402 Mocking Bird,St. Joseph,MO,64502,Carolyn,Johnson

345879912,2105 Senior Dr.,St. Joseph,MO,64503,Larry,Waite

423168945,1801 Lovers Ln,St. Joseph,MO,64502,Marilyn,Macklin

235445789,2508 Stonecrest,St. Joseph,MO,64501,Lana,McGlynn

436789213,4156 N. Mulbury,St. Joseph,MO,64502,John,Munzer

233435656,15525 Kioa,Ellwood,KS,56708,Mary,White

435678787,8902 Martha Ln,Gower,MO,63301,Jerry,Gronius

563432913,1532 Lovers Ln,St. Joseph,MO,64502,Martin,Williams

